nome,pact
Novo Cruzeiro,B
Novo Oriente de Minas,B
Novorizonte,A
Olaria,A
Olhos D'Água,A
Olímpio Noronha,B
Oliveira,B
Oliveira Fortes,A
Onça de Pitangui,B
Oratórios,A
Orizânia,A
Ouro Branco,C
Ouro Fino,C
Ouro Preto,C
Ouro Verde de Minas,B
Padre Carvalho,B
Padre Paraíso,B
Pai Pedro,A
Paineiras,A
Pains,B
Paiva,B
Palma,B
Palmópolis,B
Papagaios,A
Pará de Minas,C
Paracatu,C
Paraguaçu,B
Paraisópolis,B
Paraopeba,B
Passa Quatro,B
Passa Tempo,B
Passa Vinte,A
Passabém,A
Passos,C
Patis,B
Patos de Minas,C
Patrocínio,B
Patrocínio do Muriaé,A
Paula Cândido,A
Paulistas,A
Pavão,B
Peçanha,A
Pedra Azul,B
Pedra Bonita,A
Pedra do Anta,A
Pedra do Indaiá,B
Pedra Dourada,A
Pedralva,B
Pedras de Maria da Cruz,A
Pedrinópolis,A
Pedro Leopoldo,C
Pedro Teixeira,A
Pequeri,A
Pequi,A
Perdigão,B
Perdizes,A
Perdões,B
Periquito,B
Pescador,B
Piau,A
Piedade de Caratinga,A
Piedade de Ponte Nova,A
Piedade do Rio Grande,A
Piedade dos Gerais,A
Pimenta,A
Pingo D'Água,A
Pintópolis,B
Piracema,B
Pirajuba,A
Piranga,B
Piranguçu,B
Piranguinho,B
Pirapetinga,A
Pirapora,B
Piraúba,A
Pitangui,B
Piumhi,B
Planura,A
Poço Fundo,B
Poços de Caldas,C
Pocrane,A
Pompéu,B
Ponte Nova,B
Ponto Chique,B
Ponto dos Volantes,B
Porteirinha,B
Porto Firme,A
Poté,B
Pouso Alegre,C
Pouso Alto,A
Prados,B
Prata,B
Pratápolis,A
Pratinha,A
Presidente Bernardes,A
Presidente Juscelino,A
Presidente Kubitschek,B
Presidente Olegário,B
Prudente de Morais,A
Quartel Geral,A
Queluzito,A
Raposos,B
Raul Soares,B
Recreio,B
Reduto,A
Resende Costa,A
Resplendor,B
Ressaquinha,A
Riachinho,A
Riacho dos Machados,B
Ribeirão das Neves,C
Ribeirão Vermelho,A
Rio Acima,A
Rio Casca,A
Rio do Prado,A
Rio Doce,A
Rio Espera,B
Rio Manso,A
Rio Novo,A
Rio paranaíba,B
Rio Pardo de Minas,B
Rio Piracicaba,A
Rio Pomba,A
Rio Preto,B
Rio Vermelho,B
Ritápolis,B
Rochedo de Minas,A
Rodeiro,A
Romaria,A
Rosário da Limeira,A
Rubelita,A
Rubim,A
Sabará,C
Sabinópolis,A
Sacramento,B
Salinas,C
Salto da Divisa,A
Santa Bárbara,B
Santa Bárbara do Leste,A
Santa Bárbara do Monte Verde,A
Santa Bárbara do Tugúrio,A
Santa Cruz de Minas,B
Santa Cruz de Salinas,A
Santa Cruz do Escalvado,A
Santa Efigênia de Minas,A
Santa Fé de Minas,B
Santa Helena de Minas,A
Santa Juliana,A
Santa Luzia,C
